wms_name,wms_link,cloudcover,coordinate,date,ftp_url,coordinate_str,file_name
20230111_105152_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20230111_105152_SV1-04_SV_RD_8bit_RGB_50cm_Holwerd/wmts,0.0,"[5.981418411992196, 53.32747014056567]",2023-01-11,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2023/2023_01/20230111/20230111_105152_SV1-04_SV_RD_8bit_RGB_50cm_Holwerd.zip,"[5.981418411992196, 53.32747014056567]",20230111_105152_SV1-04_SV_RD_8bit_RGB_50cm_Holwerd
20221119_104718_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20221119_104718_SV1-03_SV_RD_8bit_RGB_50cm_Kampen/wmts,0.0,"[5.880371358720387, 52.55997897510423]",2022-11-19,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_11/20221119/20221119_104718_SV1-03_SV_RD_8bit_RGB_50cm_Kampen.zip,"[5.880371358720387, 52.55997897510423]",20221119_104718_SV1-03_SV_RD_8bit_RGB_50cm_Kampen
20221113_105519_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20221113_105519_SV1-03_SV_RD_8bit_RGB_50cm_Kerkrade/wmts,0.0,"[6.017867271504854, 50.86866692394948]",2022-11-13,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_11/20221113/20221113_105519_SV1-03_SV_RD_8bit_RGB_50cm_Kerkrade.zip,"[6.017867271504854, 50.86866692394948]",20221113_105519_SV1-03_SV_RD_8bit_RGB_50cm_Kerkrade
20221112_111204_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20221112_111204_SV1-03_SV_RD_8bit_RGB_50cm_Oosterhout/wmts,0.0,"[4.774219592055894, 51.60862992712051]",2022-11-12,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_11/20221112/20221112_111204_SV1-03_SV_RD_8bit_RGB_50cm_Oosterhout.zip,"[4.774219592055894, 51.60862992712051]",20221112_111204_SV1-03_SV_RD_8bit_RGB_50cm_Oosterhou
20221009_105647_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_105647_SV1-04_SV_RD_8bit_RGB_50cm_Heesch/wmts,0.0,"[5.551530772274111, 51.76464065192353]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_105647_SV1-04_SV_RD_8bit_RGB_50cm_Heesch.zip,"[5.551530772274111, 51.76464065192353]",20221009_105647_SV1-04_SV_RD_8bit_RGB_50cm_Heesch
20221009_105644_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen/wmts,0.0,"[5.546897410203363, 52.02382511037613]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen.zip,"[5.546897410203363, 52.02382511037613]",20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen
20221009_105642_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_105642_SV1-04_SV_RD_8bit_RGB_50cm_Lunteren/wmts,0.0,"[5.665092579736959, 52.05494569687683]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_105642_SV1-04_SV_RD_8bit_RGB_50cm_Lunteren.zip,"[5.665092579736959, 52.05494569687683]",20221009_105642_SV1-04_SV_RD_8bit_RGB_50cm_Lunteren
20221009_111423_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_111423_SV1-03_SV_RD_8bit_RGB_50cm_Rhoon/wmts,0.0,"[4.421834582401864, 51.88556655466442]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_111423_SV1-03_SV_RD_8bit_RGB_50cm_Rhoon.zip,"[4.421834582401864, 51.88556655466442]",20221009_111423_SV1-03_SV_RD_8bit_RGB_50cm_Rhoon
20221009_105653_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_105653_SV1-04_SV_RD_8bit_RGB_50cm_Veldhoven/wmts,0.0,"[5.444915259884919, 51.46210740531663]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_105653_SV1-04_SV_RD_8bit_RGB_50cm_Veldhoven.zip,"[5.444915259884919, 51.46210740531663]",20221009_105653_SV1-04_SV_RD_8bit_RGB_50cm_Veldhoven
20221009_105644_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen/wmts,0.0,"[5.578461547048855, 52.00627127639941]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen.zip,"[5.578461547048855, 52.00627127639941]",20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen
