wms_name,wms_link,cloudcover,coordinate,date,ftp_url,coordinate_str,file_name
20221119_104726_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20221119_104726_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek/wmts,0.0,"[5.842938086706251, 51.94297711752788]",2022-11-19,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_11/20221119/20221119_104726_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek.zip,"[5.842938086706251, 51.94297711752788]",20221119_104726_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek
20221119_104726_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20221119_104726_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek/wmts,0.0,"[5.671795006035591, 51.92944091397356]",2022-11-19,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_11/20221119/20221119_104726_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek.zip,"[5.671795006035591, 51.92944091397356]",20221119_104726_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek
20220424_105509_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220424_105509_SV1-04_SV_RD_8bit_RGB_50cm_Oosterbeek/wmts,0.0,"[5.842938086706251, 51.94297711752788]",2022-04-24,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_04/20220424/20220424_105509_SV1-04_SV_RD_8bit_RGB_50cm_Oosterbeek.zip,"[5.842938086706251, 51.94297711752788]",20220424_105509_SV1-04_SV_RD_8bit_RGB_50cm_Oosterbeek
20220309_111348_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20220309_111348_SV1-04_SV_RD_8bit_RGB_50cm_Arnhem/wmts,0.0,"[5.842938086706251, 51.94297711752788]",2022-03-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_03/20220309/20220309_111348_SV1-04_SV_RD_8bit_RGB_50cm_Arnhem.zip,"[5.842938086706251, 51.94297711752788]",20220309_111348_SV1-04_SV_RD_8bit_RGB_50cm_Arnhe
20200811_105045_SV1-01,https://tiles1.geoserve.eu/SuperView1/tileserver/20200811_105045_SV1-01_SV_RD_8bit_RGB_50cm_Oosterbeek/wmts,0.0,"[5.842938086706251, 51.94297711752788]",2020-08-11,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2020/2020_08/20200811/20200811_105045_SV1-01_SV_RD_8bit_RGB_50cm_Oosterbeek.zip,"[5.842938086706251, 51.94297711752788]",20200811_105045_SV1-01_SV_RD_8bit_RGB_50cm_Oosterbeek
20200921_105705_SV1-03,https://tiles1.geoserve.eu/SuperView1/tileserver/20200921_105705_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek/wmts,0.0,"[5.842938086706251, 51.94297711752788]",2020-09-21,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2020/2020_09/20200921/20200921_105705_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek.zip,"[5.842938086706251, 51.94297711752788]",20200921_105705_SV1-03_SV_RD_8bit_RGB_50cm_Oosterbeek
20200917_105711_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20200917_105711_SV1-04_SV_RD_8bit_RGB_50cm_Wageningen/wmts,0.0,"[5.671795006035591, 51.92944091397356]",2020-09-17,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2020/2020_09/20200917/20200917_105711_SV1-04_SV_RD_8bit_RGB_50cm_Wageningen.zip,"[5.671795006035591, 51.92944091397356]",20200917_105711_SV1-04_SV_RD_8bit_RGB_50cm_Wageningen
20221009_105644_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen/wmts,0.0,"[5.671795006035591, 51.92944091397356]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen.zip,"[5.671795006035591, 51.92944091397356]",20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen
20221009_105644_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen/wmts,0.0,"[5.546897410203363, 52.02382511037613]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen.zip,"[5.546897410203363, 52.02382511037613]",20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen
20221009_105644_SV1-04,https://tiles1.geoserve.eu/SuperView1/tileserver/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen/wmts,0.0,"[5.578461547048855, 52.00627127639941]",2022-10-09,ftp://ftp.satellietdataportaal.nl/Superview_1_4/SV_RD_8bit_RGB_50cm/2022/2022_10/20221009/20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen.zip,"[5.578461547048855, 52.00627127639941]",20221009_105644_SV1-04_SV_RD_8bit_RGB_50cm_Rhenen
